Date,Open,High,Low,Close,Adj Close,Volume
2012-11-12,1899.300049,1903.810059,1892.680054,1900.869995,1900.869995,473300.0
2012-11-13,1904.189941,1904.969971,1881.849976,1889.699951,1889.699951,494900.0
2012-11-14,1891.449951,1895.47998,1880.609985,1894.040039,1894.040039,533900.0
2012-11-15,1870.290039,1875.48999,1859.790039,1870.719971,1870.719971,450900.0
2012-11-16,1865.810059,1872.689941,1856.810059,1860.829956,1860.829956,465000.0
2012-11-19,1869.76001,1884.109985,1869.22998,1878.099976,1878.099976,349400.0
2012-11-20,1896.579956,1897.560059,1886.339966,1890.180054,1890.180054,372300.0
2012-11-21,1895.719971,1899.599976,1878.25,1884.040039,1884.040039,380800.0
2012-11-22,1894.660034,1903.27002,1893.180054,1899.5,1899.5,412800.0
2012-11-23,1901.72998,1911.329956,1894.579956,1911.329956,1911.329956,330000.0
2012-11-26,1918.01001,1918.109985,1905.949951,1908.51001,1908.51001,276800.0
2012-11-27,1917.140015,1930.23999,1913.969971,1925.199951,1925.199951,588300.0
2012-11-28,1916.310059,1916.76001,1906.199951,1912.780029,1912.780029,408900.0
2012-11-29,1922.859985,1935.099976,1922.51001,1934.849976,1934.849976,388800.0
2012-11-30,1932.709961,1941.839966,1927.97998,1932.900024,1932.900024,337300.0
2012-12-03,1937.280029,1944.75,1933.670044,1940.02002,1940.02002,314900.0
2012-12-04,1932.660034,1938.280029,1928.089966,1935.180054,1935.180054,294800.0
2012-12-05,1933.449951,1949.699951,1930.150024,1947.040039,1947.040039,492600.0
2012-12-06,1948.550049,1955.069946,1946.030029,1949.619995,1949.619995,345300.0
2012-12-07,1953.170044,1963.060059,1952.829956,1957.449951,1957.449951,413400.0
2012-12-10,1965.709961,1970.189941,1955.390015,1957.420044,1957.420044,367600.0
2012-12-11,1962.52002,1965.680054,1956.75,1964.619995,1964.619995,404800.0
2012-12-12,1972.329956,1975.439941,1966.910034,1975.439941,1975.439941,459700.0
2012-12-13,1976.180054,2002.780029,1976.180054,2002.77002,2002.77002,421500.0
2012-12-14,1989.420044,1999.650024,1985.189941,1995.040039,1995.040039,350500.0
2012-12-17,1993.180054,1999.380005,1981.130005,1983.069946,1983.069946,366700.0
2012-12-18,1990.719971,1993.089966,1979.219971,1993.089966,1993.089966,454300.0
2012-12-20,2002.109985,2006.079956,1991.810059,1999.5,1999.5,421900.0
2012-12-21,2004.609985,2004.670044,1976.089966,1980.420044,1980.420044,553700.0
2012-12-24,1984.180054,1985.569946,1977.0,1981.819946,1981.819946,348200.0
2012-12-26,1992.099976,2000.920044,1982.25,1982.25,1982.25,458000.0
2012-12-27,1979.459961,1987.910034,1971.530029,1987.349976,1987.349976,376100.0
2012-12-28,1984.839966,2002.670044,1984.839966,1997.050049,1997.050049,302900.0
2013-01-02,2013.73999,2033.660034,2012.300049,2031.099976,2031.099976,364100.0
2013-01-03,2041.23999,2042.47998,2018.48999,2019.410034,2019.410034,491000.0
2013-01-04,2017.880005,2018.630005,2001.530029,2011.939941,2011.939941,378900.0
2013-01-07,2012.150024,2014.0,1996.469971,2011.25,2011.25,536200.0
2013-01-08,2003.219971,2009.98999,1997.910034,1997.939941,1997.939941,493700.0
2013-01-09,2001.97998,2007.719971,1989.47998,1991.810059,1991.810059,607600.0
2013-01-10,1993.869995,2008.469971,1988.040039,2006.800049,2006.800049,500800.0
2013-01-11,2017.380005,2017.920044,1984.160034,1996.670044,1996.670044,472600.0
2013-01-14,1993.819946,2007.040039,1989.23999,2007.040039,2007.040039,454800.0
2013-01-15,2006.890015,2016.369995,1983.73999,1983.73999,1983.73999,546200.0
2013-01-16,1988.439941,1996.459961,1970.01001,1977.449951,1977.449951,457600.0
2013-01-17,1983.670044,1986.339966,1964.619995,1974.27002,1974.27002,828700.0
2013-01-18,1987.650024,1988.469971,1976.719971,1987.849976,1987.849976,583300.0
2013-01-21,1987.959961,1991.97998,1972.640015,1986.859985,1986.859985,446600.0
2013-01-22,1986.579956,1999.349976,1981.880005,1996.52002,1996.52002,553400.0
2013-01-23,2003.369995,2008.060059,1980.410034,1980.410034,1980.410034,491400.0
2013-01-24,1970.849976,1980.030029,1960.75,1964.47998,1964.47998,558400.0
2013-01-25,1966.400024,1966.829956,1934.890015,1946.689941,1946.689941,401800.0
2013-01-28,1940.329956,1943.48999,1930.369995,1939.709961,1939.709961,349500.0
2013-01-29,1946.109985,1958.880005,1944.810059,1955.959961,1955.959961,465000.0
2013-01-30,1961.920044,1967.290039,1950.670044,1964.430054,1964.430054,523300.0
2013-01-31,1960.780029,1965.920044,1954.530029,1961.939941,1961.939941,399600.0
2013-02-01,1964.75,1966.540039,1942.439941,1957.790039,1957.790039,385900.0
2013-02-04,1968.949951,1969.130005,1952.829956,1953.209961,1953.209961,345400.0
2013-02-05,1936.920044,1944.0,1928.75,1938.180054,1938.180054,366700.0
2013-02-06,1943.329956,1944.439941,1935.439941,1936.189941,1936.189941,349200.0
2013-02-07,1939.420044,1946.670044,1931.099976,1931.77002,1931.77002,412200.0
2013-02-08,1930.0,1955.859985,1929.810059,1950.900024,1950.900024,291200.0
2013-02-12,1958.459961,1958.650024,1943.630005,1945.790039,1945.790039,307500.0
2013-02-13,1952.859985,1976.069946,1950.579956,1976.069946,1976.069946,331000.0
2013-02-14,1977.420044,1986.140015,1972.800049,1979.609985,1979.609985,336000.0
2013-02-15,1981.060059,1982.76001,1976.119995,1981.180054,1981.180054,598800.0
2013-02-18,1979.420044,1985.410034,1973.650024,1981.910034,1981.910034,420700.0
2013-02-19,1981.959961,1990.089966,1979.849976,1985.829956,1985.829956,344300.0
2013-02-20,1997.040039,2024.640015,1995.310059,2024.640015,2024.640015,407700.0
2013-02-21,2014.5,2021.23999,2010.910034,2015.219971,2015.219971,391200.0
2013-02-22,2007.339966,2029.439941,2006.589966,2018.890015,2018.890015,409100.0
2013-02-25,2022.51001,2022.77002,2008.780029,2009.52002,2009.52002,338200.0
2013-02-26,1993.119995,2005.859985,1991.959961,2000.01001,2000.01001,433400.0
2013-02-27,2008.939941,2014.959961,1999.650024,2004.040039,2004.040039,417100.0
2013-02-28,2019.050049,2030.849976,2016.150024,2026.48999,2026.48999,422000.0
2013-03-04,2028.550049,2029.319946,2011.089966,2013.150024,2013.150024,357400.0
2013-03-05,2022.410034,2031.650024,2016.599976,2016.609985,2016.609985,491900.0
2013-03-06,2033.170044,2033.890015,2016.650024,2020.73999,2020.73999,395400.0
2013-03-07,2018.630005,2018.630005,1998.290039,2004.400024,2004.400024,386500.0
2013-03-08,2001.969971,2007.369995,1994.25,2006.01001,2006.01001,312100.0
2013-03-11,2000.569946,2006.300049,1982.380005,2003.349976,2003.349976,398300.0
2013-03-12,2006.839966,2007.439941,1990.170044,1993.339966,1993.339966,390200.0
2013-03-13,1994.790039,1999.72998,1988.189941,1999.72998,1999.72998,353000.0
2013-03-14,2000.069946,2002.130005,1978.569946,2002.130005,2002.130005,330900.0
2013-03-15,2009.709961,2009.709961,1985.910034,1986.5,1986.5,307400.0
2013-03-18,1974.709961,1982.920044,1968.180054,1968.180054,1968.180054,304300.0
2013-03-19,1978.410034,1989.459961,1973.22998,1978.560059,1978.560059,326800.0
2013-03-20,1969.189941,1978.170044,1959.400024,1959.410034,1959.410034,332900.0
